video_id,ocr_text
eTnSCivJo8U,내년부터 중저가 아파트시대온다 반대로 생각하면 KB부동산TV
jrRCm2wZ-2I,부동산클라스 KB부동산 중등부 지적국어학원 모의고사 대비반 잉글리쉬 막차 탑승?! 아글리쉬 망고쌤 최윤성 대표 6~12억대 가성비 학군지 딱'두 군데 남았습니다
SFHQJ4MKKEY,아낌없이주는+ 부동산클라스 KB부동산 어디갔지? ㅋㅋㅋㅋㅋㅋ 송희구 작가 '영끌'해도 괜찮을까? 이렇게 대처해보세요!
kD0y4eZnvlE,"부동산클라스 KB부동산 ""규제 효과 끝났다!"" 망고쌤 최윤성 대표 지금은 슈퍼사이클 초입 결국 집값 또 오릅니다"
z5iYle8p17s,부동산클라스 PENSION KB부동산 김경필 머니트레이너 노후 생활비 '이만큼'이면 은퇴 후 평생돈 걱정 끝!
bvn93hJfKkQ,지식업 클라스 Genera Ai KB부동산 김덕진 소장 T커뮤니케이션연구소 상위 1% 고수만 아는'이것' 대부분 모르는 AI 사용법
3kI079NNRU0,"대출규제 후 6주째 서울아파트에 무슨일이? 어, 이번에 강남 11개구가 KB부동산TV ד"
0IW0JIWjvFU,대장 장위뉴타운의 숨겨진 보석! 장위13구역!! ANSE KB부동산 박호련
wNX4_EXM8GY,부동산클라스 KB부동산 마·용·성 놓쳤다면 아임해피 정지영 '이곳'은꼭 잡으세요
8SzUFgIy45U,시세차익에 실거주까지?! KB부동산 대정부 이문동의 변화 박호련 KB부동산 KB OCTUB
SFyb94dcANc,부동산클라스 KB부동산 김경록 박사 한국 부동산 너무 올랐다 자산은 '이곳'에 모으세요
JQJBUjk7NoI,37기 신도 치 지금 주목해야할 3기 신도시 딱 한곳 •37기 신도시 교통망 개선 예상 1순위 창릉 신도시 KB부동산TV ㅣ상 1순위
VeKCoewLDMM,PPT 자동 완성 “이 조합 미쳤다” 이런 것처럼 KB부동산TV
YXsBeZ1T980,"대장마 KB부동산 동대문구 vs 성북구 2억으로 리모델링·재개발?!"" 호재 지역 TOP3"
