video_id,title
uDPGhtkZtGY,지금 부동산 시장이 바닥인 이유 #망고쌤
IWSzmmDvv6E,강남까지 단 9분?! 금평구 된 은평구
WYAtwLS2D6U,집값 곧 무섭게 바뀝니다. 제발 '이것'부터 보세요 (망고쌤 풀버전)
eTnSCivJo8U,내년부터 중저가 아파트가 핫해질 수밖에 없는 이유
RYpF2KL6aCc,서울에서 5억으로 신축 마련?! 숨겨진 땅 은평구
1oJAzI9sc8I,은평구에 사람이 몰리는 이유
RHwfGvlmEG0,분당이 일산보다 3배 비싼 '진짜 이유' #망고쌤
ONAbFDnakHE,세무조사 기준 대폭 강화! 증여세 줄이려다 세금 폭탄 맞을 수 있습니다 (이장원 세무사 2부)
DJ55Ogz8sO4,이 조건 안 되면 절대 집 사지 마세요 #김경필
espxhNPLcCk,자금 1억 모아서 부동산 투자? 음~ 일단 뽀뽀해 드릴게요!💋 (아낌없이 주는 희구 12부)
es9bKpxqkAY,집값 올리는 주범! '로또 청약'의 진실 #잠실르엘 #망고쌤
VMlC8WdgS5g,강남 영끌 성공했지만 절대 추천 안 하는 이유 #김경필
WsvTwybQ8sc,2025 부동산 세제 개편?! 세금 폭탄 피하려면 올해 안에 '이것'부터 하세요 (이장원 세무사 1부)
jrRCm2wZ-2I,6~12억대 가성비 학군지 막차 탑승?! 딱 '두 군데' 남았습니다. (망고쌤_최윤성 대표 3부)
SFHQJ4MKKEY,영끌'해도 괜찮을까? 그럴 땐 이렇게 대처해보세요! (아낌없이 주는 희구 11부)
i-1-rTvz9DE,"인구감소 시대 '투자 핵심지', 역세권보다 '이곳'을 노리세요 (망고쌤_최윤성 대표 2부)"
wf4JsUXz5yc,5억으로 서울 신축 아파트! 은평구 마지막 기회?!
kD0y4eZnvlE,"""대출 규제 효과 끝났다!"" 지금은 슈퍼사이클 초입! 결국 집값 또 오릅니다 (망고쌤_최윤성 대표 1부)"
Bl0hExhFBVA,제가 시키는 대로 하세요! 시원하게 알려드립니다! (아낌없이 주는 희구 10부)
z5iYle8p17s,노후 생활비 딱 '이 만큼'만 모으세요. 은퇴 후 평생 놀고 먹습니다. (김경필 머니트레이너 3부)
bvn93hJfKkQ,"상위 1% 고수만 아는 '이것', 아직 알려지지 않은 AI사용법 (김덕진 소장 풀버전)"
PoPtezZ0IBc,현직 공인중개사가 알려주는 급매물 잡아서 싸게 사는 법' 이렇게' 따라하세요 (정지영_아임해피 풀버전)
gBdtaCHPPVI,"""집 꼭 사야하나요?"" '이때'부터 친구와 자산 격차 벌어집니다(김경필 머니트레이너 2부)"
7S9xZ2l_5wU,모든 답은 현장에! '여기에' 절대 돈 쓰지 마세요 (아낌없이 주는 희구 9부)
zQ-IBCFyYK8,제가 직접 영끌해보고 알았습니다. 내 집 마련 '이렇게' 하세요 (김경필 머니트레이너 1부)
3kI079NNRU0,"대출 규제 후 6주째, 서울 아파트에 무슨 일이?"
iul-kAaHKt4,"재건축·재개발 투자한다면, 제발 '여기'부터 보세요 (아임해피 정지영 대표 3부)"
bSmqBnM-WnM,향후 가치 상승 기대?! '이곳'을 주목하세요
hQ2fioJOztc,살기 좋은 곳 vs 값이 오를 곳! 노후를 위해 어디에 사는 게 좋을까? (아낌없이 주는 희구 8부)
0IW0JIWjvFU,"장위뉴타운의 숨겨진 보석, 장위 13구역?!"
wNX4_EXM8GY,마.용.성을 놓쳤다면 '이곳'은 꼭 잡아야 합니다 (아임해피 정지영 대표 2부)
8SzUFgIy45U,시세 차익에 실거주까지?! 이문동에서 주목해야 할 곳은?
8zwveg8ULgY,강남 출퇴근 지옥 끝? GTX 역세권 되는 동네는?
SFyb94dcANc,한국 부동산 너무 올랐다! 앞으로 자산은 '이곳'에 모으세요 (김경록 박사 풀버전)
c-FtyimB3-o,대학가 지역은 피해라? '이곳'은 아닙니다. 천지개벽 될 곳은?!
JQJBUjk7NoI,지금 주목해야 할 3기 신도시 딱 한 곳 #정지영
VeKCoewLDMM,PPT 자동 완성 “이 조합 미쳤다”
YXsBeZ1T980,성북구 vs 동대문구 '2억'으로 호재 다 잡을 수 있는 투자 지역은?!
_TjedVpZ20A,끊임없이 늘어나는 세대 수! 수천 세대 입주가 가져올 미래는? #이문휘경
E1LEGi9gupc,대출 규제 이후 갭투자 끝났다?! 오히려 내 집 마련 기회! #정지영
Nudl73xFlB8,"대출 규제는 오히려 기회?! ""현금 없다면 지금 당장 보세요"" (아임해피 정지영 대표 1부)"
4KkrBoNbYb8,"금 vs 부동산 투자, 충격적인 20년 후 결과 #김경록"
SYwWpl0XAy8,만약 OOO이 온다면?! 대박 기회입니다. 쓸어 담을 준비하세요 (아낌없이 주는 희구 7부)
8s_vJb_SlXo,평생 돈 버는 방법! 노후 걱정 끝내는 단 '한 가지' 전략 (김경록 박사 3부)
59yepoUzTHw,돈만 벌다 망한 노후?! 제발 '이것'도 챙기세요 #김경록 #노후준비
BifU4c_GtCM,빨리 개설해야 돈 더 버는 절세 계좌 활용법 #김경록
SxP4dBBaIQg,절대 손해 보지 않는 투자 배분 전략 #김경록
RFvU0IYigUU,"서울 아파트, 7월 셋째 주 '이것'이 바뀌었다! 전국 아파트 시세 동향은?"
NR_fV3xbIDI,집 한 채' 믿고 있다간 노후에 땅을 치고 후회합니다 (김경록 박사 2부)
F0e_Ez0aviM,"서울 10억 ~ 12억 대 아파트, 저라면 '여기' 삽니다 (아낌없이 주는 희구 6부)"
DW0GYW_JEcw,이것' 모르면 나중에 후회합니다. 지금 현금 있다면 '여기'로 옮기세요 (김경록 박사 1부)
we9LalMP_qo,곧 1만 세대 이상 입주한다! 천지개벽 진행 중인 동북권의 핵심 '이문동'의 가치는?
YAEU2yTbcxI,"AI시대, 10년 후에도 살아남을 아이로 키우는 법 (김덕진 소장 3부)"
5k0QQOuAU2k,경기도-강남 거리 13km vs 서울 내 거리 13km! 희구의 선택은?! (아낌없이 주는 희구 5부)
h0lTUUbzqb8,이 AI기능 모르면 부동산 공부할 때 100% 손해봅니다 #김덕진
lMEYWSpu174,지금 ‘이 기능’ 모르면 뒤쳐집니다. AI시대에서 살아남는 아주 확실한 방법 (김덕진 소장 2부)
-pMIdsTeCQI,서울에서 가장 많이 오를 지역은 '이곳' 입니다 #김사부
LoRzdjQ9Nj8,서울 입주권이 답이다?! 지금 '이곳' 안 보면 땅을 치고 후회합니다 (김사부 전문가 풀버전)
5GJ96gj-20o,"하루 걸리던 정보 수집 5분 만에 끝! ""이 AI앱 진짜 미쳤다"""
RV8gSkhI9b8,1억 정도 있다면 '이곳'부터 보세요 #김사부
JO-GZ5r8Umw,냉장고 한 번 찍고 식단까지 짜는 방법
Adlo5Wc_1j4,자영업자라면 지금 당장 써야 할 AI 기능 #김덕진
bZ9pl7Sivd4,똘똘한 한 채는 완벽한 '덫'입니다 #김사부
Uc2aWlz0x7o,지금 사도 최소 10억?! 성수동 재개발의 가치
kHq2NTZSrnk,"이거 하나로 월급 2배 상승! ""상위 1%의 AI 진짜 사용법"" (김덕진 소장 1부)"
xMsan_6tBd0,전재산인 집을 싼값에 팔 사람이 있을까?
Kl0wRY-BJvs,무조건 오르는 부동산! 비밀 공식 대공개★ #김사부
UI95TAGy6o0,이런 아파트' 살고 있다면 지금 당장 갈아타세요 (아낌없이 주는 희구 4부)
kPpmAjEcd7I,이 방법'만 따라하세요 누구나 20억 벌 수 있습니다 #김사부
fchKK_hxeVQ,대출 규제는 맛보기? 정책 더 나올 겁니다. 미리 대비하세요!
7W3St5Eb9Uk,비밀 공식 대공개! 무조건 오르는 부동산 '이렇게' 판단하세요 (김사부 전문가 3부)
2D67I2qU-kQ,앞으로 분양가 계속 비싸집니다 '이 지역'부터 보세요 #심형석교수
rUmn_fPUjKY,노량진의 대변신! 여의도까지 직통 연결 된다?!
WVdsrRjVEfw,2030세대가 집을 명품백처럼 생각하는 충격적인 이유
rgKWThdyybU,"아파트 거래, 올해가 마지막인 이유 #심형석 #토허제"
pE5i6XWN87Q,한강뷰에 노량진과 상도동 생활권 다 누리는 이곳! 노량진 추천 아파트 단지는?!
SrWbcBqHa3A,고시촌 노량진이 강남 뺨치는 신도시로?! '절대 놓치면 안 되는 이유'
2DdvlmENF4A,"""청약 당첨 그만 노리세요"" 매달 1천만 원씩 벌면서 새 아파트 얻는 방법 대공개 (김사부 전문가 2부)"
FQSzu5YSwMc,최근 서울 직장인들이 노량진으로 모이는 이유
cmNfjMHfnlY,"집 사기 가장 좋은 시기, 저는 '이때'만 기다려요 (아낌없이 주는 희구 3부)"
