video_id,title,ocr_text,published_at,agent_keywords,agent_interviewer
uDPGhtkZtGY,지금 부동산 시장이 바닥인 이유 #망고쌤,지급 부국산 시장이 바티인 이유 밥표변의려 KE부B산T,2025-09-08,"부동산 시장, 바닥 시점, 투자 타이밍, 시장 분석, 가격 변동",망고쌤
IWSzmmDvv6E,강남까지 단 9분?! 금평구 된 은평구,강난파지 단 9문기] 카표^더음J률 나브구 실,2025-09-08,"강남 접근성, 금평구, 은평구, 부동산 투자, 지역 개발",KB자체
WYAtwLS2D6U,집값 곧 무섭게 바뀝니다. 제발 '이것'부터 보세요 (망고쌤 풀버전),부중산플라스 KB부국산 광고 최문정대표 집값곧무섭게바 내다 제발 '이것분터 보요,2025-09-07,"집값 변화, 투자 전략, 시장 전망, 부동산 매매, 경제 지표",망고쌤
eTnSCivJo8U,내년부터 중저가 아파트가 핫해질 수밖에 없는 이유,내년부터 중저가 아파트시대온다 반대로 생각하면 KB부동산TV,2025-09-05,"중저가 아파트, 핫해질 이유, 부동산 시장, 투자 전략, KB부동산TV",KB자체
RYpF2KL6aCc,서울에서 5억으로 신축 마련?! 숨겨진 땅 은평구,대공문 서/서5y-로,2025-09-05,"신축, 은평구, 5억, 투자, 숨겨진 땅",KB자체
1oJAzI9sc8I,은평구에 사람이 몰리는 이유,전우인구보다 전너인구가 1다기 E료-쓸L지썩요,2025-09-05,"은평구, 인구 증가, 주거 환경, 부동산 투자, 생활 편의성",KB자체
RHwfGvlmEG0,분당이 일산보다 3배 비싼 '진짜 이유' #망고쌤,보랑이 입신보다 3배비산 '진짜 이유' 킬표모 KE부B산T,2025-09-04,"분당, 일산, 가격 차이, 부동산 가치, 시장 분석",망고쌤
ONAbFDnakHE,세무조사 기준 대폭 강화! 증여세 줄이려다 세금 폭탄 맞을 수 있습니다 (이장원 세무사 2부),KB부활산 이장원 세무사 모현면 걸리논 증여험점] '이런끔수'눈안동합다,2025-09-03,"세무조사, 증여세, 세금 폭탄, 세무사, 강화된 기준",이장원 세무사
DJ55Ogz8sO4,이 조건 안 되면 절대 집 사지 마세요 #김경필,이조건안되면 절대집사지마세요 T려상심 기대갑 노온 지역 KB부3산T,2025-09-03,"주택 구매, 조건, 조언, 김경필, 투자 위험",김경필
espxhNPLcCk,자금 1억 모아서 부동산 투자? 음~ 일단 뽀뽀해 드릴게요!💋 (아낌없이 주는 희구 12부),비 -다+ RB부통산 '#-움~되 공바-길 확가 지금 1억오로 부동산 투자? 음~일단 보보해드컵게오 ~오',2025-09-02,"자금 모금, 부동산 투자, 투자 전략, 1억 원, 희구 12부",송희구 작가
